Adults,Caregivers,Children,Civil servants,Consumers,Crime victims,Criminals,Education professionals,Elderly people,Employers and business owners,Employees and workers,Ethnic and national communities,Families,Farmers,Health professionals,Homeless people,Homeowners and landowners,Irish and Welsh people,Landlords,Law-enforcement personnel,LGBTQI,Lower class,Manual and service workers,Marital status,Men,Middle class,Migrants and refugees,Military personnel,Patients,People with disabilities,Politicians,Religious communities,Road users,Rural communities,Self-employed,Sociocultural professionals,Students and practical learners,Taxpayers,Tenants,Unemployed,Upper class,Urban residents,White collar workers,Women,Young people
adults,therapists,children*,civil servants,consumers,crime victims,offender*,teachers,old people,employer*,employee*,black british,families,farmers, nurses,homeless pepole,homeowners,irish speakers,landlords,policemen,gay*,* on low income, carpenters,married couples,men,middle income earners,*migrant*,soldiers,patients,persons with disabilities,politicians,catholics,bike commuters,country dwellers,self-employed,scientists,student*,taxpayers,tenants,unemployed,the rich,city dwellers,managers,Women,* year old*
middle-aged people,caregivers,kids,public servants,customers,victims of crime*,criminals,educators,older people,bosses,worker*,africans,families with children,farming community, carers,the homeless,property owners,welsh language audiences,lessors,Garda*,trans,poor people, plumbers,widows,boys,middle class,non-citizens,veterans,addicts,handicapped,,protestants,commuters,rural residents,,engineers,undergraduates,,lessees,those without a job,high earners,ubranites,actuaries,girls,young people
,care staff,child,public employees,,victims of violence,yob*,child-minders,pensioners,business owners,,carribeans,family,primary producers, clinical staff,people living on the street*,houseowners,irish citizens,,constables,lesbian*,the poor*, blacksmiths,singles,,average earners,illegal aliens,bobbies,drug misusers,chronically ill,,anglicans,car drivers,those who live in rural areas,,architects,poorer students,,renters,the jobless,aristocrats,urban residents,accountants,,youths
,care workers,children at risk,,,victims of abuse,prisoner*,headteachers,senior citizens,business people,,BME,low-income families,,GP,unhoused people,home owners,Irish Language Community,,law enforcement officials,queer,those on the poverty line, toolmakers,single people,,* on modest income*,foreigners,military personnel,sick people,disabled people,,evangelicals,drivers,rural population,,professors,pupils,,lodgers,jobseekers,the 1%,city residents,salesmen,,adolescent*
,,pre school children,,,victims of rape,drug traffickers and barons,education-professionals,elderly,,,BAME,one-parent families,,GPs,,houseowners,Irish Citizens who live abroad,,police officers,intersex,benefit recipients, welders,childless couples,,,*migrant workers,members of the armed forces,ill people,disabled persons,,jewish people,cyclists,rural inhabitans,,lecturers,learners,,leaseholders,people without employment,high income earners,,saleswomen,,young adults
,,children of working families,,,victims of violent crime*,foreign criminals,principals,retired people,,,pakistani,* parent*,,GP's,,home buyers,Irish people,,,asexual,the lowest paid, smelters,spouses,,,foreign born,special constables,care-recipients,chronically sick,,jews,bicyclists,residents of rural areas,,artists,apprentices,,,long-term unemployed,the wealthy,,salespeple,,*year-old*
,,,,,victims,foreign national offenders,,retirees,,,bangledeshi,mothers,,physicians,,home purchasers,Welsh children,,,transexual*,chavs, painters,unmarried persons,,,people under resettlement,defence force personnel,people with mental illness,people with disabilities,,hindus,bikers,people living and working in rural areas,,musicians,trainees,,,unemployed person,upper class,,businessmen,,* year-old*
,,,,,,people smugglers,,people nearing retirement age,,,bengali,fathers,,psychologists,,landowners,,,,transgender,working class, electricians,,,,irish emigrant,equality officers,mentally ill,invalids,,muslims,public transport users,rural communities,,academics,interns,,,,milionaires,,businesswomen,,under-*
,,,,,,sex offenders,,,,,indian,parents,,psychiatrists,,,,,,transvestite*,lower class, hunters,,,,settles migrants,regular and reserve forces,,spastic*,,muslim people,pedestrians,rural and coastal communities,,scholars,,,,,bilionaires,,business people,,over-*
,,,,,,terrorist offenders,,,,,chinese,lone parents,,doctors,,,,,,bisexual,low income earners, fishermen,,,,asylum seeker*,,,haemophiliacs,,non-believers,walkers,,,journalists,,,,,super-rich,,lawyers,,
,,,,,,tax avoiders,,,,,traveller community,,, midwives,,,,,,gender fluid,low income class, truck drivers,,,,refugee*,,,physically or mentally disabled,,,passengers,,,,,,,,the wealthiest,,barristers,,
,,,,,,tax evaders,,,,,travellers,,,,,,,,,LGBT*,* on welfare, lorry drivers,,,,refugee children,,,physically disabled persons,,,,,,,,,,,investors,,solicitors,,
,,,,,,,,,,,,,,,,,,,,homosexual people,* on social security, train drivers,,,,,,,,,,,,,,,,,,,,judges,,
,,,,,,,,,,,,,,,,,,,,*sexual,* on lower incomes, miners,,,,,,,,,,,,,,,,,,,,brokers,,
,,,,,,,,,,,,,,,,,,,,,* on benefits, technicians,,,,,,,,,,,,,,,,,,,,chief executives,,
,,,,,,,,,,,,,,,,,,,,,* on low wages,manual labourers,,,,,,,,,,,,,,,,,,,,CEOs,,
,,,,,,,,,,,,,,,,,,,,,* on poverty wages,shipyard workers,,,,,,,,,,,,,,,,,,,,entrepreneurs,,
,,,,,,,,,,,,,,,,,,,,,* on the dole, maids,,,,,,,,,,,,,,,,,,,,surveyors,,
,,,,,,,,,,,,,,,,,,,,,welfare recipients, cleaners,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,social welfare recipients, hairdressers,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,* on low incomes, waiters,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,those who now find themselves on or near the poverty line, waiteresses,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, barbers,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, beauticians,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, cooks,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, personal trainers,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, chefs,,,,,,,,,,,,,,,,,,,,,,
