vote_decision,year,ons_const_code,constituency_name,under_30,over_65,age,gender,left_right,weight
Labour,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,21,Female,3,1.1107528298625449
Labour,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,53,Male,0,0.5615211142592407
Labour,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,65,Female,6,0.9197548006046444
Labour,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,68,Female,2,0.6517452869013777
Labour,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,34,Female,4,0.844501416833825
Conservatives,2017,E14000535,Ashfield,35.06780226465451,17.48042467178209,83,Female,7,1.1537258112902318
Conservatives,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,58,Male,5,1.124358220876025
Labour,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,78,Female,4,1.0072658301645174
Conservatives,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,45,Female,6,0.9465122255730742
Conservatives,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,93,Male,10,0.6313332292192384
Labour,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,34,Male,5,1.106043108517683
Labour,2017,E14000546,Bassetlaw,33.86636868064119,18.51302404438964,36,Male,0,0.8457660661822106
Conservatives,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,40,Female,5,0.8851619331318789
Labour,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,44,Female,5,0.38639742678939754
Labour,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,65,Female,4,0.32587264345068884
Labour,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,64,Female,5,0.8969333185214816
Labour,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,55,Male,2,0.9816263150830126
Labour,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,57,Male,0,0.4908131575415063
Conservatives,2017,E14000577,Bolsover,34.19177966191398,18.51851851851852,27,Male,7,1.5879476616897819
Conservatives,2017,E14000607,Broxtowe,34.15147781954492,18.18555137884196,62,Female,6,0.864867748462389
Conservatives,2017,E14000607,Broxtowe,34.15147781954492,18.18555137884196,56,Female,7,0.864867748462389
Labour,2017,E14000607,Broxtowe,34.15147781954492,18.18555137884196,49,Female,7,0.41317850971303816
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,43,Male,5,0.9687434157360856
Labour,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,59,Female,2,0.37753845936031405
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,80,Female,7,0.947432597109627
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,36,Female,7,1.1118912355274555
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,71,Male,,0.5764831397693551
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,80,Female,5,0.5768629056451159
Labour,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,60,Male,3,0.826375113982583
Labour,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,44,Female,5,0.38639742678939754
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,69,Male,6,0.817000724705732
Labour,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,65,Male,4,1.006602717341049
Conservatives,2017,E14000625,Charnwood,33.38434584371174,19.32494617300629,62,Male,9,0.9465329511414996
Labour,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,40,Male,6,1.6915321323644212
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,51,Female,6,1.763030469769386
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,88,Male,5,0.6313332292192384
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,68,Female,,2.106980742794305
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,82,Female,,0.5768629056451159
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,45,Male,7,2.071773428379038
Labour,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,64,Female,2,0.4484666592607408
Conservatives,2017,E14000660,Daventry,33.01651571656899,17.48108684070325,60,Female,5,1.729735496924778
