speaker,date,mp_id,gender,constituency_name,constituency_id,backbencher,surname,ONS ID,Valid votes,Majority,vulnerability
Jim Sheridan,2010-05-18,1464,M,Paisley and Renfrewshire North,2285,True,Sheridan,S14000052,43707,15280,34.960075045187274
Malcolm Rifkind,2010-05-18,1191,M,Kensington,3555,True,Rifkind,E14000768,35150,8616,24.512091038406826
David Cameron,2010-05-18,1467,M,Witney,3859,False,Cameron,E14001046,57769,22740,39.3636725579463
Harriet Harman,2010-05-18,150,F,Camberwell and Peckham,3384,False,Harman,E14000615,46659,17187,36.83533723397415
Angus Robertson,2010-05-18,1433,M,Moray,2004,False,Robertson,S14000046,41004,5590,13.632816310603843
David Blunkett,2010-05-18,395,M,"Sheffield, Brightside and Hillsborough",3724,True,Blunkett,E14000921,38914,13632,35.031094207740146
Peter Lilley,2010-05-25,68,M,Hitchin and Harpenden,3535,True,Lilley,E14000749,54707,15271,27.91416089348712
Don Foster,2010-05-25,214,M,Bath,3308,True,Foster,E14000547,47086,11883,25.236800747568278
Tom Harris,2010-05-25,1418,M,Glasgow South,1208,True,Harris,S14000034,40094,12658,31.57080859979049
David Winnick,2010-05-25,316,M,Walsall North,3823,True,Winnick,E14001011,36187,990,2.7357890955315445
Denis MacShane,2010-05-25,393,M,Rotherham,3707,True,MacShane,E14000904,37506,10462,27.89420359409161
Kevin Brennan,2010-05-25,1400,M,Cardiff West,3392,False,Brennan,W07000079,40958,4751,11.599687484740466
Simon Hughes,2010-05-25,194,M,Bermondsey and Old Southwark,3318,True,Hughes,E14000553,44651,8530,19.10371548229603
Bob Russell,2010-05-25,35,M,Colchester,3422,True,Russell,E14000644,46139,6982,15.132534298532697
Chris Leslie,2010-05-25,422,M,Nottingham East,3664,True,Leslie,E14000865,33112,6969,21.046750422807442
Ian Lucas,2010-05-25,1470,M,Wrexham,3869,False,Lucas,W07000044,32976,3658,11.092916060164969
Maria Eagle,2010-05-25,483,F,Garston and Halewood,3493,False,Eagle,E14000708,42825,16877,39.40922358435493
Chris Bryant,2010-05-25,1446,M,Rhondda,3696,False,Bryant,W07000052,31072,11553,37.181385169927914
Gerald Kaufman,2010-05-25,451,M,"Manchester, Gorton",3597,True,Kaufman,E14000808,38325,6703,17.489889106327464
Alan Beith,2010-05-25,513,M,Berwick-upon-Tweed,3319,True,Beith,E14000554,38439,2690,6.998100887119853
Mark Lazarowicz,2010-05-25,1411,M,Edinburgh North and Leith,1041,True,Lazarowicz,S14000023,47356,1724,3.6405101782245124
Pete Wishart,2010-05-25,1440,M,Perth and North Perthshire,2316,True,Wishart,S14000054,48268,4379,9.07226319714925
Tony Lloyd,2010-05-25,450,M,Manchester Central,3596,True,Lloyd,E14000807,39927,10439,26.14521501740677
David Anderson,2010-05-25,1486,M,Blaydon,3340,True,Anderson,E14000574,44913,9117,20.299245207400975
Nigel Dodds,2010-05-25,1388,M,Belfast North,3315,False,Dodds,N06000002,36993,2224,6.011948206417431
William McCrea,2010-05-25,655,M,South Antrim,3736,False,McCrea,N06000014,34009,1183,3.4784909876797316
John Redwood,2010-05-25,14,M,Wokingham,3861,True,Redwood,E14001048,54528,13492,24.74325117370892
Edward Leigh,2010-05-25,345,M,Gainsborough,3492,True,Leigh,E14000707,49251,10559,21.439158595764553
Keith Vaz,2010-05-25,338,M,Leicester East,3570,True,Vaz,E14000782,47995,14082,29.340556307948745
David Tredinnick,2010-05-25,335,M,Bosworth,3349,True,Tredinnick,E14000583,54274,5032,9.271474370785276
Graham Stuart,2010-05-25,1482,M,Beverley and Holderness,3321,True,Stuart,E14000556,53199,12987,24.41211300964304
Nigel Evans,2010-05-25,474,M,Ribble Valley,3697,True,Evans,E14000894,52287,14769,28.246026737047448
Andrew Miller,2010-05-25,428,M,Ellesmere Port and Neston,3471,True,Miller,E14000688,44233,4331,9.791332263242374
Andrew Selous,2010-05-25,1453,M,South West Bedfordshire,3754,True,Selous,E14000949,50774,16649,32.79040453775555
Dominic Grieve,2010-05-25,16,M,Beaconsfield,3311,False,Grieve,E14000550,52490,21782,41.49742808153934
Richard Harrington,2010-05-25,4068,M,Watford,3833,True,Harrington,E14001021,55208,1425,2.581147659759455
Anne Begg,2010-05-25,572,F,Aberdeen South,20,True,Begg,S14000002,43034,3506,8.147046521355207
Stuart Bell,2010-05-25,501,M,Middlesbrough,3610,True,Bell,E14000819,33455,8689,25.972201464654017
David Amess,2010-05-25,44,M,Southend West,3762,True,Amess,E14000957,43606,7270,16.672017612255193
Chris Williamson,2010-05-25,3976,M,Derby North,3442,True,Williamson,E14000662,45080,613,1.35980479148181
Peter Bottomley,2010-05-25,117,M,Worthing West,3868,True,Bottomley,E14001055,49123,11729,23.876799055432283
David Hanson,2010-05-25,533,M,Delyn,3440,False,Hanson,W07000042,36984,2272,6.143197058187324
Andrew Smith,2010-05-25,95,M,Oxford East,3673,True,Smith,E14000873,51651,4581,8.869140965324968
Tobias Ellwood,2010-05-25,1487,M,Bournemouth East,3350,True,Ellwood,E14000584,44024,7728,17.55406142104307
Douglas Carswell,2010-05-25,1527,M,Clacton,3418,True,Carswell,E14000642,43123,12068,27.985065974074157
Mark Spencer,2010-05-25,4055,M,Sherwood,3727,True,Spencer,E14000924,48954,214,0.4371450749683376
Joan Walley,2010-05-25,286,F,Stoke-on-Trent North,3778,True,Walley,E14000973,40196,8235,20.487113145586626
Martin Horwood,2010-05-25,1499,M,Cheltenham,3406,True,Horwood,E14000630,52786,4920,9.320653203500928
