speaker,birth_date,gender,constituency_name,backbencher,ONS ID,vulnerability,under_30,over_65
Cheryl Gillan,1952-04-21,F,Chesham and Amersham,True,E14000631,40.07094765800333,33.06525611270038,19.39655637717925
Theresa May,1956-10-01,F,Maidenhead,False,E14000803,45.42832122804306,34.07585732534145,17.32141102485998
Jeremy Corbyn,1949-05-26,M,Islington North,False,E14000763,60.47006990969997,43.63045936464061,8.59484483275184
Stewart Hosie,1963-01-03,M,Dundee East,False,S14000015,15.47940737979873,35.49809125613525,18.40347209598255
Tim Farron,1970-05-27,M,Westmorland and Lonsdale,True,E14001037,1.503279354576586,28.30348312062822,24.50696504963119
Nigel Dodds,1958-08-20,M,Belfast North,False,N06000002,4.530215952629746,38.612,16.0
Hywel Williams,1953-05-14,M,Arfon,False,W07000057,0.3261486103233125,42.42154095058854,15.92458686213329
Caroline Lucas,1960-12-09,F,"Brighton, Pavilion",True,E14000598,25.48061088286789,44.82059598621529,10.3192300638074
Richard Benyon,1960-10-21,M,Newbury,True,E14000830,40.06639386021134,35.77880938869301,15.20034235424361
Kwasi Kwarteng,1975-05-26,M,Spelthorne,True,E14000959,26.7883867105657,34.38565660369463,17.44806376702441
Andrew Bridgen,1964-10-28,M,North West Leicestershire,True,E14000858,24.81462804206122,33.83938888175632,17.36637137843968
Kelly Tolhurst,1978-08-23,F,Rochester and Strood,True,E14000898,18.31910580445982,38.99459490267975,14.60041226928594
Angus MacNeil,1970-07-21,M,Na h-Eileanan an Iar,False,S14000027,6.795788905385342,30.22684583152724,21.56119057939604
Christian Matheson,1968-01-01,M,City of Chester,True,E14000640,16.26344800694777,36.85359427926232,17.8848325178773
Rachel Reeves,1979-02-13,F,Leeds West,True,E14000781,37.80577328376234,43.16315755446846,12.96791155744241
Andy Slaughter,1960-09-29,M,Hammersmith,True,E14000726,35.69432748985685,43.42332284583375,8.693629689772997
Kevin Hollinrake,1963-09-28,M,Thirsk and Malton,True,E14000993,33.97343059951009,29.88375331359787,23.37517663926394
Maria Miller,1964-03-26,F,Basingstoke,True,E14000545,16.915654038599,39.22460091114485,12.39582947516575
Jacob Rees-Mogg,1969-05-24,M,North East Somerset,True,E14000846,18.93862294839295,33.07364870291543,20.27605355852083
Keith Vaz,1956-11-26,M,Leicester East,True,E14000782,42.78193193956966,42.64190932546995,12.91190563951345
Nadhim Zahawi,1967-06-02,M,Stratford-on-Avon,True,E14000977,41.01845625046701,29.71070177421178,22.81387727426828
Pat McFadden,1965-03-26,M,Wolverhampton South East,True,E14001050,23.45196121639489,40.08868525806049,15.94860337729794
Seema Malhotra,1972-08-07,F,Feltham and Heston,True,E14000701,29.42463273426745,44.39837002894714,10.58922975095892
Karen Buck,1958-08-30,F,Westminster North,True,E14001036,26.58967548215729,40.10327906757671,10.63020784270067
Carol Monaghan,1972-08-02,F,Glasgow North West,False,S14000033,6.593038821954485,38.21522554202277,14.96937658647912
Toby Perkins,1970-08-12,M,Chesterfield,True,E14000632,20.04089552861644,33.71546842827728,18.74142072752231
Alan Brown,1970-08-12,M,Kilmarnock and Loudoun,False,S14000040,13.4791115698037,34.60902799297593,17.14492304513997
Anne Main,1957-05-17,F,St Albans,True,E14000960,10.71791992701498,36.5061486950022,14.64218793197014
James Morris,1967-02-04,M,Halesowen and Rowley Regis,True,E14000722,11.83667951057933,36.19372645128781,18.57213206747672
Jeffrey M. Donaldson,1962-12-07,M,Lagan Valley,False,N06000009,42.80149579308195,37.275,15.8
Kevin Brennan,1959-10-16,M,Cardiff West,False,W07000079,26.91672564284029,39.4443406901249,14.30125127709361
Nigel Evans,1957-11-10,M,Ribble Valley,True,E14000894,23.91123188405797,33.25630100382755,19.0304243312115
Wes Streeting,1983-01-21,M,Ilford North,True,E14000759,18.2070606902023,40.29964226184094,13.51996802776126
John Penrose,1964-06-22,M,Weston-Super-Mare,True,E14001038,20.46264291411859,33.69994630254679,20.71762810678122
Oliver Dowden,1978-08-01,M,Hertsmere,True,E14000745,32.44024266549289,36.96154192200418,16.32293988863452
Nigel Huddleston,1970-10-13,M,Mid Worcestershire,True,E14000818,42.34239140300242,31.62385923306583,20.4491075020645
Mike Wood,1976-03-17,M,Dudley South,True,E14000672,20.21232088693651,36.16914423463238,18.73744475693049
Stewart Malcolm McDonald,1986-08-24,M,Glasgow South,True,S14000034,4.549943883277217,36.51595865774257,14.46296043345627
Liz Kendall,1971-06-11,F,Leicester West,True,E14000784,29.48389848581787,46.82354555433589,10.61235690763682
Wendy Morton,1967-11-09,F,Aldridge-Brownhills,True,E14000531,35.55859326457065,32.65258398939902,21.61898822979188
Albert Owen,1959-08-10,M,Ynys Môn,True,W07000041,14.07391548692697,32.12140327737237,22.43121962409141
Edward Miliband,1969-12-24,M,Doncaster North,False,E14000669,33.14426167517489,37.63532158777329,16.82384692361343
Ian Blackford,1961-05-14,M,"Ross, Skye and Lochaber",False,S14000055,15.39241691371509,30.87822031279885,19.5153530389748
Jim Cunningham,1941-02-04,M,Coventry South,True,E14000651,16.90527345827395,46.49213370336342,14.6452352311583
James Cartlidge,1974-04-30,M,South Suffolk,True,E14000946,32.72609938231769,31.29087104368297,21.71614787688552
Huw Merriman,1973-07-13,M,Bexhill and Battle,True,E14000557,37.26963949421577,28.87408539914819,26.90639054076862
Jim Shannon,1955-03-25,M,Strangford,False,N06000016,47.33799581924695,36.013,16.4
John Redwood,1951-06-15,M,Wokingham,True,E14001048,31.49271234712682,35.99699349249362,14.10289376347489
Joanna Cherry,1966-03-18,F,Edinburgh South West,False,S14000025,2.22109738813525,41.02845741464792,13.46991011326535
Geraint Davies,1960-05-03,M,Swansea West,True,W07000047,28.42658655651521,42.98358704814797,17.24227698715724
Alison Thewliss,1982-09-13,F,Glasgow Central,False,S14000029,6.300022232103157,48.34588031603055,10.17894517680835
William Cash,1940-05-10,M,Stone,True,E14000975,34.96762072273745,29.87572552789944,21.27146909755605
Kenneth Clarke,1940-07-02,M,Rushcliffe,True,E14000908,13.73668776045686,34.03641418236577,18.29028147804935
Anna Soubry,1956-12-07,F,Broxtowe,True,E14000607,1.554730849607264,34.15147781954492,18.18555137884196
