old_name,new_name,new_date
Andrew Bowie,Andrew Bowie,2018-06-06
Andrew Slaughter,Andy Slaughter,2010-06-02
Angus MacNeil,Angus MacNeil,2010-05-26
Annette L Brooke,Annette Brooke,2010-06-07
Bill Cash,William Cash,2010-05-26
Bob Neill,Robert Neill,2010-05-27
Brian H Donohoe,Brian H. Donohoe,2010-06-16
Christopher Huhne,Chris Huhne,2010-05-27
Daniel Poulter,Daniel Poulter,2010-06-22
David Davies,David T. C. Davies,2010-06-03
Diana R Johnson,Diana Johnson,2010-06-07
Diana R. Johnson,Diana Johnson,2010-06-07
Ed Miliband,Edward Miliband,2010-05-27
Ed Vaizey,Edward Vaizey,2010-06-03
Edward Balls,Ed Balls,2010-06-02
Gareth R Thomas,Gareth Thomas,2010-06-02
Ged Killen,Gerard Killen,2017-06-29
Graham Jones,Graham Jones,2010-06-30
Grahame M Morris,Grahame Morris,2010-05-27
Grahame Morris,Grahame Morris,2010-05-27
Ian Lucas,Ian Lucas,2010-05-25
Jeffrey M Donaldson,Jeffrey M. Donaldson,2010-05-26
Jennifer Willott,Jenny Willott,2010-10-14
Jimmy Hood,Jim Hood,2010-10-27
Jo Johnson,Joseph Johnson,2010-06-08
John Martin McDonnell,John McDonnell,2010-06-24
John Randall,John  Randall,2010-06-15
Jon Ashworth,Jon Ashworth,2011-06-08
Louise Mensch,Louise Bagshawe,2010-06-10
Martin Docherty-Hughes,Martin John Docherty,2015-06-02
Matt Hancock,Matthew Hancock,2015-07-01
Michael Crockart,Mike Crockart,2010-06-08
Michael Weir,Mike Weir,2010-06-22
Nicholas Boles,Nick Boles,2010-06-08
Nicholas Dakin,Nic Dakin,2010-06-03
Nick Brown,Nicholas Brown,2010-07-21
Paul Sweeney,Paul J Sweeney,2017-06-26
Rob Flello,Robert Flello,2010-05-26
Sian C James,Siân C. James,2010-11-24
Steve Pound,Stephen Pound,2010-06-02
Steven Baker,Steve Baker,2010-06-08
Stewart McDonald,Stewart Malcolm McDonald,2015-06-01
Stuart C McDonald,Stuart C. McDonald,2015-06-08
Sylvia Eileen Paisley,Sylvia Hermon,2010-09-14
Therese Coffey,Thérèse  Coffey,2010-05-27
Vincent Cable,Vince Cable,2010-06-03
