Employees and Workers,Employers and Business Owners,Self-employed,Unemployed,Sociocultural professionals,Manual labourers,Educational professionals,Military personnel,Lower class,Middle class,Upper class,Practical trainees,Pupils,Students,Black people,Irish people,BAME,Diverse ethnic groups,Families,Marital status,Children,Parents,Young people,Adults,Elderly people,Men,Women,LGBTIQ,People with disabilities,Migrants,Refugees,Christians,Jewish people,Non-believers,Hindus,Muslims,Homeowners and landowners,Homeless pepole,Rural communities,Urban residents,Criminals,Crime victims,Miscalleneous
employee*,employer*,self-employed,unemployed,scientists,farmers, teachers,soldiers,* on low income,middle income earners,the rich,apprentices,pupil*,student*,black british,irish speakers,BME,pakistani,families,married couples,children*,* parent*,* year old*,middle-aged people,old people,men,women,gay*,persons with disabilities,*migrant*,asylum seeker*,catholics,jewish people,non-believers,hindus,muslims,homeowners,homeless pepole,country dwellers,city dwellers,offender*,crime victims,addicts
worker*,bosses,,those without a job,physicians, primary producers, nurses,policemen,poor people,middle class,high earners,trainees,,undergraduates,africans,welsh language audiences,BAME,bangledeshi,families with children,widows,kids,mothers,young people,,older people,,,trans,handicapped,non-citizens,refugee*,protestants,jews,,,muslim people,property owners,the homeless,rural residents,ubranites,criminals,victims of crime*,bike commuters
,business owners,,the jobless,GP, carpenters, aircrew*,Garda*,the poor*,average earners,aristocrats,interns,,poorer students,carribeans,irish citizens,,bengali,family,singles,child,fathers,youths,,pensioners,,,lesbian*,chronically ill,illegal aliens,refugee children,anglicans,,,,,houseowners,people living on the street*,those who live in rural areas,urban residents,yob*,victims of violence,consumers
,business people,,jobseekers,GPs, plumbers, carers,constables,those on the poverty line,* on modest income*,the 1%,,,,,Irish Language Community,,indian,low-income families,single people,children at risk,parents,adolescent*,,senior citizens,,,queer,disabled people,foreigners,,evangelicals,,,,,home owners,unhoused people,rural population,city residents,prisoner*,victims of abuse,patients
,,,people without employment,GP's, blacksmiths, clinical staff,veterans,benefit recipients,,high income earners,,,,,Irish Citizens who live abroad,,chinese,one-parent families,childless couples,pre school children,lone parents,young adults,,elderly,,,intersex,mentally ill,*migrant workers,,,,,,,houseowners,,rural inhabitans,,drug traffickers and barons,victims of rape,drug misusers
,,,long-term unemployed,managers, toolmakers, tellers,bobbies,the lowest paid,,the wealthy,,,,,Irish people,,traveller community,,spouses,children of working families,,*year-old*,,retired people,,,asexual,disabled persons,foreign born,,,,,,,home buyers,,residents of rural areas,,foreign criminals,victims of violent crime*,gamblers
,,,unemployed person,civil servants, welders, travel attendants,military personnel,chavs,,upper class,,,,,Welsh children,,travellers,,unmarried persons,,,* year-old*,,retirees,,,transexual*,chronically sick,people under resettlement,,,,,,,home purchasers,,people living and working in rural areas,,foreign national offenders,victims,politicians
,,,,psychologists, smelters, conductors,members of the armed forces,working class,,milionaires,,,,,,,,,,,,under-*,,people nearing retirement age,,,transgender,people with disabilities,irish emigrant,,,,,,,landlords,,rural communities,,people smugglers,,prisoners
,,,,psychiatrists, painters, pilots,law enforcement officials,lower class,,bilionaires,,,,,,,,,,,,over-*,,,,,transvestite*,invalids,settles migrants,,,,,,,landowners,,commuters,,sex offenders,,those from the most disadvantaged backgrounds
,,,,doctors, electricians, maids,police officers,low income earners,,super-rich,,,,,,,,,,,,,,,,,bisexual,spastic*,,,,,,,,tenants,,rural and coastal communities,,terrorist offenders,,
,,,,engineers, hunters, cleaners,armed forces,low income class,,the wealthiest,,,,,,,,,,,,,,,,,gender fluid,haemophiliacs,,,,,,,,first-time buyers,,,,,,
