"party","ame_diff"
"Labour",-0.0200491482772863
"Conservative",0.0187918683137233
"Labour",-0.0353827058411445
"Conservative",-0.00960079393362588
"Labour",-0.0215913732192629
"Conservative",-0.00642047475710265
"Labour",-0.0290134299265892
"Conservative",-0.0415611339773112
"Labour",-0.0260315687061241
"Conservative",0.000573995614574229
"Labour",-0.00596863343872762
"Conservative",-0.0314627848377442
"Labour",-0.0212739934286172
"Conservative",-0.00521780963245608
"Labour",0.00485889019372398
"Conservative",0.00254919688669998
"Labour",-0.0298892777730969
"Conservative",0.00312015485858059
"Labour",-0.00764523765533046
"Conservative",-0.00846170988532882
"Labour",-0.0205523108941781
"Conservative",-0.000929694538528319
"Labour",-0.0226024368210643
"Conservative",-0.0147117091599452
"Labour",-0.00221013874778817
"Conservative",-0.0300151893784664
"Labour",-0.0354865389980592
"Conservative",-0.0110144380166542
"Labour",-0.0186253232510818
"Conservative",-0.0398218936267978
"Labour",-0.00611739076615402
"Conservative",-0.0112826234187419
"Labour",-0.0245788979148983
"Conservative",-0.0280678752038213
"Labour",-0.0345135593480202
"Conservative",-0.0132716399751037
"Labour",-0.0232821590383702
"Conservative",-0.0573122435827495
"Labour",-0.0175127180512936
"Conservative",-0.00639005205841383
"Labour",-0.0252074937525057
"Conservative",0.0243438557949138
"Labour",-0.0140002814042491
"Conservative",0.0170203492318792
"Labour",-0.0308019095024675
"Conservative",-0.018955789293599
"Labour",-0.019790513280381
"Conservative",0.000212340337196079
"Labour",-0.0276617289951069
"Conservative",0.00160005680659331
"Labour",-0.00879774876279486
"Conservative",-0.00286272184666204
"Labour",-0.0277527393700913
"Conservative",-0.0198289422828003
"Labour",-0.0123790487173016
"Conservative",-0.0088222787293021
"Labour",-0.0165885516320717
"Conservative",-0.00240278634006686
"Labour",-0.00771244517156742
"Conservative",-0.0307749994732346
"Labour",-0.0238395506913444
"Conservative",-0.0331696381311542
"Labour",-0.0192503441974276
"Conservative",-0.032870066685192
"Labour",-0.020922097628361
"Conservative",-0.031836786339432
"Labour",-0.00822087228914562
"Conservative",-0.0208339146645336
"Labour",-0.0156490926501652
"Conservative",0.0151662283319722
"Labour",-0.015537813660406
"Conservative",-0.00570948558358215
"Labour",-0.00491192836167569
"Conservative",-0.0258279297753496
"Labour",0.000974223004745989
"Conservative",-0.0243076374051599
"Labour",-0.0217398179118139
"Conservative",-0.00356556127585972
"Labour",-0.0219553606910396
"Conservative",-0.0100222192140374
"Labour",-0.0301798122989186
"Conservative",0.00434618484216556
"Labour",-0.0157471822287565
"Conservative",-0.005702101749644
"Labour",-0.0222654999181519
"Conservative",-0.0114605380437686
"Labour",-0.0316111988743747
"Conservative",-0.0148275002546401
"Labour",-0.0257164372089453
